dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate,last_5_epoch_mean,previous_5_epoch_mean,delta,best_epoch,best_metric,last_epoch_metric,convergence_status
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,32,1.44961,1.82116,1.06706,4.337829999999999,2.0099,2.42789,1.26557,5.70336,0.41675,0.40803,0.35655,0.11107,0.0007049080000000001,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,33,1.45268,1.86812,1.05739,4.37819,2.20205,2.60486,1.30835,6.11526,0.31451,0.32109,0.25099,0.06444,0.0006932106666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,34,1.45317,1.82741,1.05457,4.3351500000000005,1.54348,1.92752,1.11989,4.59089,0.50977,0.58823,0.565,0.27001,0.0006812783333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,35,1.54411,1.82711,1.07624,4.44746,1.37905,1.79041,1.07971,4.2491699999999994,0.56157,0.59049,0.61761,0.34422,0.0006691211666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,36,1.46237,1.77135,1.07054,4.30426,1.59504,1.89366,1.14899,4.637689999999999,0.5679,0.57572,0.60098,0.27432,0.0006567526666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,37,1.45352,1.7214,1.05497,4.22989,1.31307,1.69297,1.06473,4.0707699999999996,0.63061,0.59551,0.65405,0.38575,0.0006441848333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,38,1.44713,1.73582,1.07949,4.26244,1.27946,1.64896,1.06027,3.98869,0.63923,0.62948,0.67295,0.41933,0.0006314291666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,39,1.60686,1.76033,1.09544,4.46263,1.2749,1.64186,1.04677,3.96353,0.64586,0.62823,0.67394,0.40795,0.0006184996666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,40,1.40402,1.6694,1.06265,4.13607,1.5817,1.80997,1.12166,4.513330000000001,0.61579,0.59372,0.63576,0.29279,0.0006054076666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,41,1.41965,1.70636,1.03532,4.1613299999999995,1.35261,1.63963,1.0601,4.05234,0.64145,0.63044,0.67913,0.39089,0.0005921668333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,42,1.42537,1.65214,1.04811,4.1256200000000005,1.23722,1.57572,1.0331,3.8460400000000003,0.66704,0.63276,0.68803,0.43431,0.0005787908333333334,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,43,1.41417,1.66356,1.07743,4.15516,1.30314,1.60211,1.05039,3.95564,0.65952,0.62913,0.68661,0.4122,0.000565291,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,44,1.39767,1.65784,1.06275,4.11826,1.44487,1.69883,1.085,4.2287,0.62494,0.61112,0.66199,0.34774,0.0005516828333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
