dataset,sample_size,method,seed,mAP50-95,mAP50,precision,recall,trainable_params,total_params,trainable_ratio,peak_gpu_memory,elapsed_time,gpu_hours,checkpoint_size,adapter_size,status,exit_code,run_id,source,device,gpu_name,split_hash,artifact_manifest_verified
NEU-DET,100,V-PEFT,826,0.31191581404727825,0.598148100622752,0.7097801488921287,0.5264347181679965,613602,2772770,0.2212956718371881,2621.44,405.314,0.11258723,6037266,763746,PASS,0,neu_vpeft_seed826_e100,reused_p1_100_multiseed,2,NVIDIA GeForce RTX 4090,866509a9beb7bf50a2e81c3ce29043454b400284e065558313827d1854977259,True
NEU-DET,500,Full-SFT,824,0.39563138850644375,0.7170237317271698,0.6620388504649312,0.6511964941399915,2590994,2591010,0.9999938248019112,2652.16,1159.268,0.32201895,5498650,0,PASS,0,neu_500_full_seed824,immutable_p2_seed824,0,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,Full-SFT,825,0.4059320546513069,0.7159495027920384,0.6601500742523564,0.6499005781063697,2590994,2591010,0.9999938248019112,2652.16,1184.699,0.32908295,5498650,0,PASS,0,neu_500_full_seed825_e100,new_p2_multiseed,0,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,Full-SFT,826,0.396971418289455,0.7166208552529553,0.6465744611650377,0.6784136994519349,2590994,2591010,0.9999938248019112,2652.16,1177.506,0.32708501,5498650,0,PASS,0,neu_500_full_seed826_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,Frozen Backbone,824,0.3859145787103497,0.6857505053234415,0.6211521551060577,0.6607346256438503,1225522,2591010,0.4729900695095735,1699.84,1031.904,0.28664002,5498650,0,PASS,0,neu_500_frozen_seed824,immutable_p2_seed824,1,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,Frozen Backbone,825,0.37548912967243275,0.6807494819814192,0.6518982443198641,0.6435468853352547,1225522,2591010,0.4729900695095735,1699.84,1032.432,0.28678678,5498650,0,PASS,0,neu_500_frozen_seed825_e100,new_p2_multiseed,1,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,Frozen Backbone,826,0.36935994956905793,0.6717801678414039,0.604327224760205,0.6400157975401239,1225522,2591010,0.4729900695095735,1699.84,1047.825,0.29106237,5498650,0,PASS,0,neu_500_frozen_seed826_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,V-PEFT,824,0.39041551147579107,0.6961636006756676,0.6253646737869211,0.6624848881023876,613602,2772770,0.2212956718371881,2621.44,1216.369,0.33788032,6037266,763747,PASS,0,neu_500_vpeft_seed824,immutable_p2_seed824,2,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,V-PEFT,825,0.3902843356091141,0.6922437907496173,0.6614511821738868,0.6270436232946366,613602,2772770,0.2212956718371881,2621.44,1255.528,0.34875791,6037266,763748,PASS,0,neu_500_vpeft_seed825_e100,new_p2_multiseed,2,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
NEU-DET,500,V-PEFT,826,0.39186501209476626,0.6946640113736676,0.6227767741382321,0.6743409257221038,613602,2772770,0.2212956718371881,2621.44,1249.068,0.3469632,6037266,763747,PASS,0,neu_500_vpeft_seed826_e100,new_p2_multiseed,0,NVIDIA GeForce RTX 4090,82bda54ce30a707635221ab5c5f1908e4f9079bb4fa8fb53ca753f45207d96c8,True
DeepPCB,10,Full-SFT,824,0.24916234133175094,0.4637688096583959,0.4275088229641541,0.5390466536934337,2590994,2591010,0.9999938248019112,2693.12,203.683,0.05657848,5498650,0,PASS,0,deeppcb_10_full_seed824,immutable_p2_seed824,3,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,Full-SFT,825,0.3236583641929435,0.5400834149590538,0.5118823428116183,0.5607540031829482,2590994,2591010,0.9999938248019112,2693.12,204.024,0.05667324,5498650,0,PASS,0,deeppcb_10_full_seed825_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,Full-SFT,826,0.29819225857257586,0.5020185423369984,0.4745630585070922,0.5228388845116041,2590994,2591010,0.9999938248019112,2693.12,209.235,0.05812088,5498650,0,PASS,0,deeppcb_10_full_seed826_e100,new_p2_multiseed,6,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,Frozen Backbone,824,0.20679017353828663,0.37352204712027254,0.34825471252453616,0.468659627739665,1225522,2591010,0.4729900695095735,1628.16,187.952,0.05220897,5498650,0,PASS,0,deeppcb_10_frozen_seed824,immutable_p2_seed824,4,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
DeepPCB,10,Frozen Backbone,825,0.23962163713099371,0.4067212326235035,0.39367916160997174,0.4884999976135164,1225522,2591010,0.4729900695095735,1628.16,204.613,0.05683691,5498650,0,PASS,0,deeppcb_10_frozen_seed825_e100,new_p2_multiseed,7,NVIDIA GeForce RTX 4090,503f33cbf1274b097892307dee4f48dff0c7e9d24e1c1e75bafa24dda73cd717,True
