dataset,sample_size,method,n,map50_95_mean,map50_95_std,map50_95_ci95_lower,map50_95_ci95_upper,map50_mean,map50_std,map50_ci95_lower,map50_ci95_upper,precision_mean,precision_std,precision_ci95_lower,precision_ci95_upper,recall_mean,recall_std,recall_ci95_lower,recall_ci95_upper,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,peak_gpu_memory_mib_ci95_lower,peak_gpu_memory_mib_ci95_upper,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95_lower,elapsed_seconds_ci95_upper,gpu_hours_mean,gpu_hours_std,gpu_hours_ci95_lower,gpu_hours_ci95_upper,trainable_params,total_params,trainable_ratio
NEU-DET,500,Frozen Backbone,3,0.3769212193172801,0.008369713081377746,0.35612969941451766,0.3977127392200426,0.6794267183820882,0.007078478649773004,0.6618428026257063,0.6970106341384702,0.6257925413953757,0.024122611056267007,0.5658686535623637,0.6857164292283876,0.648099102839743,0.011084199233777224,0.6205644255175274,0.6756337801619586,1699.84,0.0,1699.84,1699.84,1037.387,9.04342739231097,1014.9218809704395,1059.8521190295605,0.2881630566666667,0.002511951030182188,0.28192302438228634,0.29440308895104705,1225522,2591010,0.4729900695095735
NEU-DET,500,V-PEFT,3,0.39085495305989043,0.0008771922351744126,0.38867588674795717,0.3930340193718237,0.6943571342663176,0.0019778416603339053,0.6894439032098265,0.6992703653228087,0.63653087669968,0.02162037291176443,0.5828228930054409,0.6902388603939191,0.6546231457063759,0.024609224883257876,0.5934904421146313,0.7157558492981205,2621.44,0.0,2621.44,2621.44,1240.3216666666667,20.993584265992684,1188.1707122847447,1292.4726210485887,0.34453381,0.005831547211598309,0.3300474436532714,0.3590201763467286,613602,2772770,0.2212956718371881
DeepPCB,10,Full-SFT,3,0.2903376546990901,0.037864039100984265,0.1962781672456087,0.38439714215257154,0.5019569223181494,0.038157339966497165,0.4071688351237309,0.5967450095125678,0.4713180747609549,0.042280257242560966,0.36628809327825423,0.5763480562436556,0.5408798471293287,0.01902391927536445,0.49362181183032455,0.5881378824283328,2693.12,0.0,2693.12,2693.12,205.64733333333334,3.111685127601023,197.9174789604763,213.37718770619037,0.05712419999999999,0.0008644496117183463,0.05497678811954176,0.05927161188045823,2590994,2591010,0.9999938248019112
DeepPCB,10,Frozen Backbone,3,0.22061014824497246,0.017020285397592292,0.1783294154224699,0.26289088106747505,0.3862366274550715,0.017911628735431687,0.3417416750328414,0.43073157987730154,0.3651853018941352,0.024821906846653898,0.3035242670164896,0.42684633677178074,0.4716772672958,0.015535297466879521,0.43308544899361384,0.5102690855979861,1628.16,0.0,1628.16,1628.16,196.72933333333333,8.366373786374437,175.9461086992196,217.51255796744707,0.05464709,0.0023239399364871705,0.04887410316371245,0.060420076836287556,1225522,2591010,0.4729900695095735
DeepPCB,10,V-PEFT,3,0.18972094695895633,0.0075511336627866535,0.17096289106005516,0.2084790028578575,0.3207715408739013,0.023890940852469716,0.26142315373085273,0.3801199280169499,0.283876961411396,0.037984213718138815,0.18951894365943456,0.37823497916335747,0.43587887913567175,0.018870074339865615,0.38900301584271646,0.48275474242862704,2662.4,0.0,2662.4,2662.4,245.90166666666667,5.310995794889437,232.70842172513824,259.0949116081951,0.06830598,0.0014753275982980843,0.06464106307574385,0.07197089692425615,613602,2772770,0.2212956718371881
DeepPCB,50,Full-SFT,3,0.5668969197156016,0.011280944906899097,0.5388734990471419,0.5949203403840614,0.8480475991633116,0.0129524729773873,0.8158718725785467,0.8802233257480766,0.8305968654852772,0.008976509467352407,0.8082979797967046,0.8528957511738499,0.7802289410149408,0.018724318452577278,0.7337151554183217,0.8267427266115599,2689.7066666666665,5.912066756501642,2675.020278681903,2704.39305465143,277.078,5.133681817175661,264.32522739734736,289.8307726026526,0.07696615999999999,0.001426042278440577,0.07342367459744216,0.08050864540255782,2590994,2591010,0.9999938248019112
DeepPCB,50,Frozen Backbone,3,0.389802343664629,0.008235186067042318,0.36934500739143894,0.4102596799378191,0.6731445396393605,0.014289776170517752,0.6376467677603711,0.7086423115183499,0.6511413717861118,0.02188676401471704,0.5967716359069284,0.7055111076652951,0.654600376500812,0.014986412801129686,0.6173720632962678,0.6918286897053563,1720.32,10.240000000000009,1694.88242983072,1745.75757016928,258.38533333333334,6.528270853245405,242.16820951365602,274.6024571530106,0.07177368666666667,0.0018133174132603817,0.06726915649684359,0.07627821683648975,1225522,2591010,0.4729900695095735
DeepPCB,50,V-PEFT,3,0.37085159574146104,0.012693730707593224,0.3393186205867396,0.40238457089618246,0.5915332218459943,0.017914547368182408,0.5470310191380812,0.6360354245539075,0.5356863278957464,0.02516157991640386,0.4731814983358372,0.5981911574556557,0.626732341281972,0.019617727415781206,0.5779992047877588,0.6754654777761852,2648.7466666666664,5.912066756501642,2634.060278681903,2663.4330546514298,321.25600000000003,9.374029069722349,297.96962087598314,344.5423791240169,0.08923784666666668,0.002603879564886466,0.0827694512424329,0.09570624209090045,613602,2772770,0.2212956718371881
DeepPCB,100,Full-SFT,3,0.6485994299897748,0.012947381567164537,0.6164363511691507,0.6807625088103989,0.9225558693404978,0.002601776881688738,0.9160926972708916,0.929019041410104,0.8996339071518556,0.01911240472934561,0.8521560617996673,0.947111752504044,0.8658810227183055,0.010221903613310589,0.8404884064656487,0.8912736389709622,2665.813333333333,11.824133513003547,2636.4405573638055,2695.1861093028606,373.78399999999993,4.16229119596407,363.4442954724303,384.12370452756954,0.10382895666666665,0.00115614670601673,0.10095692903382657,0.10670098429950674,2590994,2591010,0.9999938248019112
DeepPCB,100,Frozen Backbone,3,0.4843546761145951,0.014909187605304951,0.4473182009313036,0.5213911512978866,0.805971692865417,0.017133326968935925,0.7634101492125337,0.8485332365183004,0.7842471900773597,0.029559490309715237,0.7108173454561161,0.8576770346986032,0.7541659503652127,0.0052112344742707515,0.7412205262824165,0.7671113744480089,1706.6666666666667,5.9120667565017735,1691.980278681903,1721.3530546514305,340.116,4.014068883315277,330.14450010901794,350.08749989098203,0.09447673333333333,0.0011151359584522986,0.09170658204510894,0.09724688462155771,1225522,2591010,0.4729900695095735
DeepPCB,100,V-PEFT,3,0.5166067422786682,0.014223060998673856,0.4812747000740084,0.551938784483328,0.795848841052877,0.01608050973963908,0.7559026403829688,0.8357950417227852,0.7790318647095561,0.019884773617036194,0.7296353486760008,0.8284283807431114,0.7303450884461729,0.011143476782892396,0.7026631575287345,0.7580270193636112,2631.68,10.240000000000009,2606.2424298307196,2657.11757016928,423.7443333333333,13.286423948276438,390.7390265478758,456.7496401187908,0.11770682333333334,0.0036907556938157483,0.10853847792912358,0.1268751687375431,613602,2772770,0.2212956718371881
DeepPCB,500,Full-SFT,3,0.7006461539046138,0.008468366303012245,0.6796095658135942,0.7216827419956334,0.967725564417789,0.0015170551686125855,0.963956990462491,0.9714941383730871,0.9563003105692957,0.008393273348722002,0.9354502637179223,0.977150357420669,0.9319543346403161,0.0036470948312386695,0.9228944488313656,0.9410142204492665,2652.16,0.0,2652.16,2652.16,1160.397,8.683977717613036,1138.8248034628666,1181.9691965371333,0.3223324533333333,0.0024121399878393145,0.31634036542329536,0.3283245412433713,2590994,2591010,0.9999938248019112
DeepPCB,500,Frozen Backbone,3,0.5978656939991955,0.00855938668676749,0.576602998740343,0.619128389258048,0.9256782371101769,0.005116942709288843,0.9129670467566886,0.9383894274636653,0.9005684645335853,0.0063935949270445625,0.884685894261061,0.9164510348061096,0.878450753506757,0.010939406242566884,0.8512757619144177,0.9056257450990964,1699.84,0.0,1699.84,1699.84,1061.8656666666666,4.293699609117242,1051.1995255443296,1072.5318077890036,0.29496270333333335,0.001192742414452246,0.29199976692107693,0.2979256397455898,1225522,2591010,0.4729900695095735
DeepPCB,500,V-PEFT,3,0.6564048280500079,0.007984817787696384,0.6365694410613905,0.6762402150386253,0.9282445053323903,0.0016486565926555168,0.9241490153166949,0.9323399953480858,0.9029718835334305,0.00843647104485771,0.8820145276560216,0.9239292394108394,0.872503605469774,0.0051401817289437905,0.8597346861911745,0.8852725247483735,2621.44,0.0,2621.44,2621.44,1256.1386666666667,13.025467566783606,1223.7816114696218,1288.4957218637117,0.34892743666666665,0.003618257453005969,0.33993918687649477,0.3579156864568385,613602,2772770,0.2212956718371881
