dataset,sample_size,method,n,map50_95_mean,map50_95_std,map50_95_ci95_lower,map50_95_ci95_upper,map50_mean,map50_std,map50_ci95_lower,map50_ci95_upper,accuracy_retention_vs_full,trainable_parameters,total_parameters,trainable_ratio_vs_full,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,peak_gpu_memory_mib_ci95_lower,peak_gpu_memory_mib_ci95_upper,training_seconds_mean,training_seconds_std,training_seconds_ci95_lower,training_seconds_ci95_upper,gpu_hours_mean
NEU-DET,500,Frozen Backbone,3,0.3769212193172801,0.008369713081377746,0.35612969941451766,0.3977127392200426,0.6794267183820882,0.007078478649773004,0.6618428026257063,0.6970106341384702,0.9434549584869539,1225522,2591010,0.47299299033498343,1699.84,0.0,1699.84,1699.84,1037.387,9.04342739231097,1014.9218809704395,1059.8521190295605,0.2881630566666667
NEU-DET,500,V-PEFT <=10%,3,0.3696103541027589,0.003061704460361767,0.362004658590254,0.3772160496152638,0.6706019275122541,0.008232979806194446,0.6501500718948384,0.6910537831296698,0.9251554526911187,195410,2772770,0.07541893188482876,2587.306666666667,5.912066756501642,2572.6202786819035,2601.99305465143,1225.3606666666667,17.03270281938041,1183.0490872584164,1267.672246074917,0.34037790333333334
DeepPCB,10,Full-SFT,3,0.2903376546990901,0.037864039100984265,0.1962781672456087,0.38439714215257154,0.5019569223181494,0.038157339966497165,0.4071688351237309,0.5967450095125678,1.0,2590994,2591010,1.0,2693.12,0.0,2693.12,2693.12,205.64733333333334,3.111685127601023,197.9174789604763,213.37718770619037,0.05712419999999999
DeepPCB,10,Frozen Backbone,3,0.22061014824497246,0.017020285397592292,0.1783294154224699,0.26289088106747505,0.3862366274550715,0.017911628735431687,0.3417416750328414,0.43073157987730154,0.7598399472972798,1225522,2591010,0.47299299033498343,1628.16,0.0,1628.16,1628.16,196.72933333333333,8.366373786374437,175.9461086992196,217.51255796744707,0.05464709
DeepPCB,10,V-PEFT <=10%,3,0.11041148134543356,0.012966681597686743,0.07820045859114952,0.1426225040997176,0.20528225827549926,0.02923964439941716,0.13264695494200612,0.2779175616089924,0.38028646838752456,195410,2772770,0.07541893188482876,2621.44,0.0,2621.44,2621.44,231.41666666666666,6.496414883097703,215.27867746378064,247.55465586955268,0.06428238666666666
DeepPCB,50,Full-SFT,3,0.5668969197156016,0.011280944906899097,0.5388734990471419,0.5949203403840614,0.8480475991633116,0.0129524729773873,0.8158718725785467,0.8802233257480766,1.0,2590994,2591010,1.0,2689.7066666666665,5.912066756501642,2675.020278681903,2704.39305465143,277.078,5.133681817175661,264.32522739734736,289.8307726026526,0.07696615999999999
DeepPCB,50,Frozen Backbone,3,0.389802343664629,0.008235186067042318,0.36934500739143894,0.4102596799378191,0.6731445396393605,0.014289776170517752,0.6376467677603711,0.7086423115183499,0.6876070941789265,1225522,2591010,0.47299299033498343,1720.32,10.240000000000009,1694.88242983072,1745.75757016928,258.38533333333334,6.528270853245405,242.16820951365602,274.6024571530106,0.07177368666666667
DeepPCB,50,V-PEFT <=10%,3,0.20510633044661006,0.01430950485877028,0.1695595497891274,0.2406531111040927,0.341017893877281,0.02092350848569219,0.28904101738389026,0.3929947703706717,0.36180533587924046,195410,2772770,0.07541893188482876,2611.2000000000003,10.240000000000009,2585.76242983072,2636.6375701692805,313.17333333333335,2.4096857333132444,307.1873421295181,319.1593245371486,0.08699255666666666
DeepPCB,100,Full-SFT,3,0.6485994299897748,0.012947381567164537,0.6164363511691507,0.6807625088103989,0.9225558693404978,0.002601776881688738,0.9160926972708916,0.929019041410104,1.0,2590994,2591010,1.0,2665.813333333333,11.824133513003547,2636.4405573638055,2695.1861093028606,373.78399999999993,4.16229119596407,363.4442954724303,384.12370452756954,0.10382895666666665
DeepPCB,100,Frozen Backbone,3,0.4843546761145951,0.014909187605304951,0.4473182009313036,0.5213911512978866,0.805971692865417,0.017133326968935925,0.7634101492125337,0.8485332365183004,0.7467701230052437,1225522,2591010,0.47299299033498343,1706.6666666666667,5.9120667565017735,1691.980278681903,1721.3530546514305,340.116,4.014068883315277,330.14450010901794,350.08749989098203,0.09447673333333333
DeepPCB,100,V-PEFT <=10%,3,0.3716462320204412,0.030589867377476314,0.2956567888677534,0.4476356751731291,0.5917983303571632,0.048335651422944007,0.47172591583089385,0.7118707448834326,0.5729980860857374,195410,2772770,0.07541893188482876,2594.133333333333,11.824133513003547,2564.7605573638057,2623.5061093028608,414.0663333333334,4.735139526279379,402.3035946652608,425.82907200140596,0.11501847333333333
DeepPCB,500,Full-SFT,3,0.7006461539046138,0.008468366303012245,0.6796095658135942,0.7216827419956334,0.967725564417789,0.0015170551686125855,0.963956990462491,0.9714941383730871,1.0,2590994,2591010,1.0,2652.16,0.0,2652.16,2652.16,1160.397,8.683977717613036,1138.8248034628666,1181.9691965371333,0.3223324533333333
DeepPCB,500,Frozen Backbone,3,0.5978656939991955,0.00855938668676749,0.576602998740343,0.619128389258048,0.9256782371101769,0.005116942709288843,0.9129670467566886,0.9383894274636653,0.853306181254781,1225522,2591010,0.47299299033498343,1699.84,0.0,1699.84,1699.84,1061.8656666666666,4.293699609117242,1051.1995255443296,1072.5318077890036,0.29496270333333335
DeepPCB,500,V-PEFT <=10%,3,0.607583528695832,0.025002585157845883,0.5454736640116421,0.6696933933800219,0.8917940912733826,0.017147909816327928,0.8491963218193467,0.9343918607274185,0.8671759993398159,195410,2772770,0.07541893188482876,2580.48,0.0,2580.48,2580.48,1242.2666666666667,15.81398502381145,1202.9825500944844,1281.550783238849,0.3450740433333333
