dataset,sample_size,method,seed,map50_95,map50,precision,recall,trainable_parameters,total_parameters,peak_gpu_memory_mib,training_seconds,gpu_hours,run_id,metrics_path,metrics_sha256,checkpoint_path,checkpoint_sha256,source,status
DeepPCB,100,Frozen Backbone,826,0.47609064156689274,0.798599873648271,0.789292572727485,0.748471989692464,1225522,2591010,1710.08,341.509,0.09486375,deeppcb_frozen_seed826_e100,smoke/c3/p1/logs/deeppcb_frozen_seed826_e100/metrics.json,7eede424f33bb380d6e78a8519c3608bbf62e8c73d8cddb359f66293c5d3f884,smoke/c3/p1/artifacts/deeppcb_frozen_seed826_e100/weights/best.pt,48412005c62de4ce76f8c27dd41230a7d5c30e0ab90b46e97fdb3f9672b656ed,reused_verified_existing_full_or_frozen,PASS
DeepPCB,100,Full-SFT,824,0.63453779041467,0.920817740582632,0.9040055807388218,0.8557610669674177,2590994,2591010,2672.64,369.01,0.10250289,deeppcb_full_seed824_e100,smoke/c3/p1/logs/deeppcb_full_seed824_e100/metrics.json,38af35d6b57cdc6c98b06b9fae5c91cf9650a8a26848915b410b7be10742047a,smoke/c3/p1/artifacts/deeppcb_full_seed824_e100/weights/best.pt,009094ae65537cb54f503b4e4189313c9a942242c03e2e80afebfca13950fc49,reused_verified_existing_full_or_frozen,PASS
DeepPCB,100,Full-SFT,825,0.6600276818450954,0.925547061014835,0.9161817397019658,0.8656800895338791,2590994,2591010,2652.16,375.69,0.10435844,deeppcb_full_seed825_e100,smoke/c3/p1/logs/deeppcb_full_seed825_e100/metrics.json,8585bde8de6a2c1f9d5d52a2096ba85be05c358656ca8dbd35843cd2756790ad,smoke/c3/p1/artifacts/deeppcb_full_seed825_e100/weights/best.pt,0c7090c44017656417ced27450ff37e10b1b46e3b7449e9ec80150efecebf7d1,reused_verified_existing_full_or_frozen,PASS
DeepPCB,100,Full-SFT,826,0.651232817709559,0.9213028064240264,0.8787144010147796,0.8762019116536198,2590994,2591010,2672.64,376.652,0.10462554,deeppcb_full_seed826_e100,smoke/c3/p1/logs/deeppcb_full_seed826_e100/metrics.json,eeee21fdf607dda4127091fb725a5372f717a926af78c6c1b430563ef984561f,smoke/c3/p1/artifacts/deeppcb_full_seed826_e100/weights/best.pt,cf4651f7762869753d7afc6232600a14015e723384cce681383ebf9f941901c3,reused_verified_existing_full_or_frozen,PASS
DeepPCB,100,V-PEFT <=10%,824,0.33634751352689096,0.5368479197068353,0.48214567776439604,0.640044966829124,195410,2772770,2600.96,410.489,0.11402472,final_deeppcb_100_vpeft_b250k_predictors_seed824_e100,smoke/c3/completion/logs/final/final_deeppcb_100_vpeft_b250k_predictors_seed824_e100/metrics.json,93860d7f0e631762e115f0d8d24467cbcc38b083df67b197e2b7dec1966d2003,smoke/c3/completion/artifacts/final/final_deeppcb_100_vpeft_b250k_predictors_seed824_e100/weights/best.pt,d01997fe31ddf7a524386927734dc5cd6e8170c07b3fa1476b46f353d882f6d6,new_selected_efficiency_matrix,PASS
DeepPCB,100,V-PEFT <=10%,825,0.39040929711096833,0.6108074577532864,0.5896148748028961,0.6489432843857511,195410,2772770,2580.48,412.274,0.11452065,final_deeppcb_100_vpeft_b250k_predictors_seed825_e100,smoke/c3/completion/logs/final/final_deeppcb_100_vpeft_b250k_predictors_seed825_e100/metrics.json,e71693dbcafe192e625e0334707b1aeefa67c8a46547d7433580263e70c117bd,smoke/c3/completion/artifacts/final/final_deeppcb_100_vpeft_b250k_predictors_seed825_e100/weights/best.pt,0cfb34356c9335f1334920c6df423ce3198b37e0b4fc04a3f11fe61a4adefc91,new_selected_efficiency_matrix,PASS
DeepPCB,100,V-PEFT <=10%,826,0.3881818854234645,0.6277396136113681,0.5858501521317446,0.6308003836035939,195410,2772770,2600.96,419.436,0.11651005,final_deeppcb_100_vpeft_b250k_predictors_seed826_e100,smoke/c3/completion/logs/final/final_deeppcb_100_vpeft_b250k_predictors_seed826_e100/metrics.json,14b66fa5f7cbcf83ba9df15aa3617d72e478a2ca8c6efb88f17bcbb03173166f,smoke/c3/completion/artifacts/final/final_deeppcb_100_vpeft_b250k_predictors_seed826_e100/weights/best.pt,86ed632f545d216bb677f75eadc20fa8a6867a2f565458cbf12c58cf4bb7f681,new_selected_efficiency_matrix,PASS
DeepPCB,500,Frozen Backbone,824,0.5885262975446927,0.919980308660857,0.8984212781527989,0.8726013401627641,1225522,2591010,1699.84,1057.445,0.29373464,deeppcb_500_frozen_seed824,smoke/c3/p2/logs/deeppcb_500_frozen_seed824/metrics.json,047b0f2c7446bc83e76eac6bacc36cb0d70e53423075cfeeb917afeba8fd1e60,smoke/c3/p2/artifacts/deeppcb_500_frozen_seed824/weights/best.pt,97303e805b6b7f36822779769551b43846b2d21a898110858656b8b2a705adc2,reused_verified_existing_full_or_frozen,PASS
DeepPCB,500,Frozen Backbone,825,0.6053362592087985,0.929881199573376,0.895524848468464,0.8910712779157085,1225522,2591010,1699.84,1066.02,0.29611667,deeppcb_500_frozen_seed825_e100,smoke/c3/p2/logs/deeppcb_500_frozen_seed825_e100/metrics.json,4a6706a30d11778bb7b58a93bb63e44c1bd6a18ec77b7bd6ab4366ddf7110e21,smoke/c3/p2/artifacts/deeppcb_500_frozen_seed825_e100/weights/best.pt,0ffd93d2819507fdec92402c52d35021b187ffa0ed57e93cb1886116ff0c1535,reused_verified_existing_full_or_frozen,PASS
DeepPCB,500,Frozen Backbone,826,0.5997345252440953,0.9271732030962979,0.9077592669794933,0.8716796424417987,1225522,2591010,1699.84,1062.132,0.2950368,deeppcb_500_frozen_seed826_e100,smoke/c3/p2/logs/deeppcb_500_frozen_seed826_e100/metrics.json,a0decbae86994bfa1f1da5502b4d3b20557ae328461dae3c6d71e03580d023b2,smoke/c3/p2/artifacts/deeppcb_500_frozen_seed826_e100/weights/best.pt,ec6bf1ebc3ac17b69348a7c02ede159834237921d49e4a7b2f29f91600c35380,reused_verified_existing_full_or_frozen,PASS
DeepPCB,500,Full-SFT,824,0.7006209618146635,0.9659816628900953,0.9517113028464935,0.9305506300269483,2590994,2591010,2652.16,1154.634,0.32073176,deeppcb_500_full_seed824,smoke/c3/p2/logs/deeppcb_500_full_seed824/metrics.json,d1f882a74587a4f8a047fc5944e6d594f92724e9679cee512cc8e27e3dbafa01,smoke/c3/p2/artifacts/deeppcb_500_full_seed824/weights/best.pt,5772efd49c8232ee71dbb7b4a55d88eeb34f4521b51eb8ef3f4056242e96eef6,reused_verified_existing_full_or_frozen,PASS
