dataset,sample_size,class_name,baseline,augmentation,metric,seed824_delta,seed825_delta,seed826_delta,mean,sample_std,ci95_lower,ci95_upper,significant_positive_95ci,significant_negative_95ci
deeppcb,10,spur,baseline,medium,ap50,0.025680310237217674,0.1517514380086097,0.07248989517167445,0.08330721447250061,0.0637278833167216,-0.07500162377381037,0.2416160527188116,False,False
deeppcb,10,spur,baseline,medium,precision,0.01403966961012304,0.13743023235620988,0.057381128471466425,0.06961701014593312,0.06259868484211678,-0.08588674358539773,0.22512076387726399,False,False
deeppcb,10,spur,baseline,medium,recall,0.07657030135118031,0.08590883244863479,0.0662525879917184,0.0762439072638445,0.009832186245322037,0.051819402621464936,0.10066841190622407,True,False
deeppcb,50,copper,baseline,medium,ap50_95,0.037769689896976044,0.09858695649644955,0.05637514783534825,0.06424393140959128,0.031162851207191658,-0.013168882484365471,0.14165674530354805,False,False
deeppcb,50,copper,baseline,medium,ap50,0.023621803574441658,0.09439718947427367,0.04751564460189317,0.05517821255020283,0.036004513925192515,-0.03426195828981579,0.14461838339022146,False,False
deeppcb,50,copper,baseline,medium,precision,0.03607263705672925,0.0790929928133951,0.07931087347136723,0.06482550111383052,0.024900949010226284,0.002968114615553477,0.12668288761210755,True,False
deeppcb,50,copper,baseline,medium,recall,0.034482758620689724,0.08836206896551724,0.07974137931034486,0.06752873563218394,0.028941432584028252,-0.004365768486066776,0.13942323975043464,False,False
deeppcb,50,mousebite,baseline,medium,ap50_95,0.11124281657613683,0.13161542499566004,0.09096341471646485,0.11127388542942057,0.020326022948185928,0.060781245290989154,0.16176652556785198,True,False
deeppcb,50,mousebite,baseline,medium,ap50,0.16496084832037128,0.17677677429404626,0.11712442371388498,0.15295401544276752,0.03158676557116361,0.07448813989065406,0.23141989099488097,True,False
deeppcb,50,mousebite,baseline,medium,precision,0.07273599173448231,0.18554709939769543,0.07389913256831515,0.11072740790016429,0.06479836341289132,-0.05024065032287485,0.27169546612320344,False,False
deeppcb,50,mousebite,baseline,medium,recall,0.1211159477592012,0.059726962457337884,0.05305729283956595,0.07796673435203501,0.03751682404529247,-0.015230223089404332,0.17116369179347435,False,False
deeppcb,50,open,baseline,medium,ap50_95,0.09195347522957642,0.09315067358528711,0.07948035416083399,0.08819483432523251,0.007570663404055191,0.0693882638591558,0.10700140479130922,True,False
deeppcb,50,open,baseline,medium,ap50,0.12023980616950014,0.14700963449426974,0.0924800619797026,0.11990983421449082,0.027266283772705045,0.05217663043148413,0.1876430379974975,True,False
deeppcb,50,open,baseline,medium,precision,0.1288289481084829,0.16063715998065886,0.028573158000807397,0.10601308869664972,0.06892494276572854,-0.06520596091789951,0.277232138311199,False,False
deeppcb,50,open,baseline,medium,recall,0.10166919575113809,0.027314112291350612,0.09358934992024026,0.07419088598757632,0.04079699635130187,-0.027154471180734482,0.17553624315588712,False,False
deeppcb,50,pin-hole,baseline,medium,ap50_95,0.03041694950352991,0.07875505814104711,0.04671376001854999,0.05196192255437567,0.024592693918416845,-0.009129715845453898,0.11305356095420524,False,False
deeppcb,50,pin-hole,baseline,medium,ap50,0.025498098302348948,0.09917340321366908,0.05199321461787576,0.058888238711297926,0.03731847607259241,-0.033815995051079274,0.15159247247367513,False,False
deeppcb,50,pin-hole,baseline,medium,precision,-0.011570893411045113,-0.007712713809610472,0.0045837023776115204,-0.004899968281014688,0.008436610357850914,-0.025857670231515934,0.016057733669486558,False,False
deeppcb,50,pin-hole,baseline,medium,recall,0.051063829787234116,0.09361702127659566,0.05957446808510647,0.06808510638297875,0.022517032434592167,0.01214969695224595,0.12402051581371155,True,False
deeppcb,50,short,baseline,medium,ap50_95,0.09262024846832215,0.04519255774560105,0.06827322449948448,0.0686953435711359,0.023716662923048644,0.009779886803689367,0.1276108003385824,True,False
deeppcb,50,short,baseline,medium,ap50,0.1228467473746544,0.06267146423270886,0.10566828924476068,0.09706216695070798,0.03099701890518622,0.020061303332013294,0.17406303056940264,True,False
deeppcb,50,short,baseline,medium,precision,0.06209068500854903,0.0788460800088846,0.012062523708090134,0.05099976290850792,0.034745751723300376,-0.03531346927548249,0.13731299509249834,False,False
deeppcb,50,short,baseline,medium,recall,0.10481265396682216,0.06903765690376573,0.09097755721855805,0.08827595602971532,0.01803986115393052,0.043462456619887256,0.13308945543954337,True,False
deeppcb,50,spur,baseline,medium,ap50_95,0.1790583735253471,0.17102315825565279,0.17880327475341168,0.17629493551147055,0.004567274397502147,0.16494919694006305,0.18764067408287805,True,False
deeppcb,50,spur,baseline,medium,ap50,0.23996877853548082,0.23485189918672555,0.2463726817479006,0.24039778649003565,0.0057723603122355705,0.2260584485517654,0.2547371244283059,True,False
deeppcb,50,spur,baseline,medium,precision,0.22670817331556437,0.21371026202297405,0.1608197528440911,0.20041272939420984,0.03489898664096424,0.11371884057247152,0.2871066182159482,True,False
deeppcb,50,spur,baseline,medium,recall,0.10762846482363708,0.14979753376001959,0.18012422360248442,0.14585007406204703,0.03640872956834039,0.055405775899146886,0.23629437222494717,True,False
deeppcb,500,copper,baseline,medium,ap50_95,0.003695313826510116,0.0053531179472325885,0.0029787299528025724,0.004009053908848426,0.0012178892463900752,0.0009836493029794849,0.007034458514717366,True,False
deeppcb,500,copper,baseline,medium,ap50,0.025157544615217575,0.01992090726108653,0.010374552885112243,0.018484334920472117,0.007495466375780392,-0.0001354357718447302,0.037104105612788964,False,False
deeppcb,500,copper,baseline,medium,precision,0.0044232182542526255,-0.0015371573511654413,0.016811498245779544,0.006565853049622243,0.009360099008748336,-0.0166859218850803,0.029817627984324788,False,False
deeppcb,500,copper,baseline,medium,recall,0.034006545823726975,0.015086206896551713,0.015086206896551713,0.021392986538943465,0.010923662772763593,-0.005742896106901842,0.04852886918478877,False,False
deeppcb,500,mousebite,baseline,medium,ap50_95,0.016378221624888445,0.060997835490852026,0.025365922680490316,0.0342473265987436,0.023598453064900164,-0.024374480602158535,0.09286913379964573,False,False
deeppcb,500,mousebite,baseline,medium,ap50,0.042407971936697764,0.08113265953738791,0.03897909696978419,0.05417324281462329,0.023410401713948484,-0.003981418933606977,0.11232790456285355,False,False
deeppcb,500,mousebite,baseline,medium,precision,0.07675449340321117,0.08764112273793156,0.03593041595151114,0.06677534403088463,0.027261453844837233,-0.0009458615461598874,0.13449654960792914,False,False
deeppcb,500,mousebite,baseline,medium,recall,0.05151132008397985,0.08185244341986486,0.08069763686593967,0.07135380012326147,0.017193789725543755,0.028642058655645813,0.11406554159087712,True,False
